Date,Open,High,Low,Close,Volume
2008-01-02,1891.45,1892.5,1852.78,1853.45,246843984
2008-01-03,1834.43,1858.08,1821.61,1852.73,252816992
2008-01-04,1853.54,1869.76,1824.41,1863.9,298548000
2008-01-07,1815.73,1840.99,1814.35,1831.14,267838992
2008-01-08,1838.64,1840.62,1818.68,1826.23,295928992
2008-01-09,1802.06,1844.47,1794.15,1844.47,277192992
2008-01-10,1847.93,1855.06,1824.78,1824.78,315249984
2008-01-11,1844.56,1847.11,1776.26,1782.27,280216992
2008-01-14,1781,1790.68,1754.13,1765.88,249055984
2008-01-15,1781.53,1781.53,1723.14,1746.95,295161984
2008-01-16,1715.97,1735.51,1701.31,1704.97,295409984
2008-01-17,1726.03,1732.64,1687.1,1723.55,295558976
2008-01-18,1689.28,1737.42,1684.39,1734.72,287434976
2008-01-21,1723.95,1724.39,1673.42,1683.56,285717984
2008-01-22,1628.92,1636.06,1578.37,1609.02,316572992
2008-01-23,1652.62,1659.28,1604.54,1628.42,271752992
2008-01-24,1663.36,1675.68,1649,1663,269448992
2008-01-25,1682.93,1692.66,1674.21,1692.41,271900992
2008-01-28,1668.06,1674.47,1620.9,1627.18,258521984
2008-01-29,1657.9,1662.9,1622.52,1637.91,274493984
2008-01-30,1653,1653.2,1578.29,1589.06,379664992
2008-01-31,1582.18,1630.12,1570.87,1624.68,333837984
2008-02-01,1645.05,1648.97,1619.65,1634.53,307769984
2008-02-04,1655.78,1696.56,1655.78,1690.13,332874976
2008-02-05,1686.2,1697.99,1680.39,1696.56,253748992
2008-02-11,1648.51,1651.72,1633.46,1640.67,234175984
2008-02-12,1653.6,1654.62,1641.05,1643.29,290868000
2008-02-13,1663.29,1663.95,1629.56,1631.78,318174976
2008-02-14,1660.45,1697.45,1660.45,1697.45,503613984
2008-02-15,1672.39,1696.37,1668.41,1694.77,485304992
2008-02-18,1701.75,1714.2,1681.02,1696.24,373767968
2008-02-19,1717.1,1722.71,1708.93,1720.52,362675968
2008-02-20,1704.66,1718.15,1683.7,1687.91,321440992
2008-02-21,1708.01,1713.64,1694.58,1704.36,241749984
2008-02-22,1687.63,1687.63,1670.68,1686.45,281282976
2008-02-25,1701.75,1715,1701.64,1709.13,299064000
2008-02-26,1724.55,1726.47,1704.5,1709.13,283518976
2008-02-27,1725.96,1732.8,1715.81,1720.89,305926976
2008-02-28,1726.08,1739.6,1713.25,1736.17,257260992
2008-02-29,1717.68,1721.85,1708.21,1711.62,315738976
2008-03-03,1676.3,1676.3,1657.79,1671.73,236967984
2008-03-04,1677.1,1686.59,1665.1,1676.18,278437984
2008-03-05,1680.63,1687.2,1667.87,1677.1,263471984
2008-03-06,1681.39,1705.97,1680.11,1697.43,359533984
2008-03-07,1682.17,1682.17,1650.74,1663.97,303178976
2008-03-10,1634.42,1650.56,1621.4,1625.17,317330976
2008-03-11,1605.31,1643.66,1602.35,1641.48,279546976
2008-03-12,1685.43,1687.63,1658.17,1658.83,325009984
2008-03-13,1657.21,1657.21,1609.17,1615.62,309352000
2008-03-14,1637.78,1638.66,1578.45,1600.26,297473984
2008-03-17,1588.53,1588.53,1537.53,1574.43,298576992
2008-03-18,1585.31,1590.28,1566.96,1588.75,242938992
2008-03-19,1626.28,1632.68,1614.96,1622.23,280205984
2008-03-20,1602.29,1624.48,1592.93,1623.39,243273984
2008-03-21,1644.05,1645.78,1634.51,1645.68,283792992
2008-03-24,1653.81,1663.56,1645.89,1655.3,257969984
2008-03-25,1676.74,1680.77,1667.93,1674.93,319844000
2008-03-26,1676.81,1681.91,1670.31,1679.67,280348992
2008-03-27,1671.98,1677.31,1660.45,1676.24,257783984
2008-03-28,1671.06,1704.28,1670.89,1701.83,350400992
2008-03-31,1705.17,1709.31,1685.18,1703.99,291622976
2008-04-01,1701.64,1717.83,1694.53,1702.25,320297984
2008-04-02,1738.64,1743.54,1734.42,1742.18,326393984
2008-04-03,1745.72,1765.53,1742.43,1763.63,253459984
2008-04-04,1762.93,1768.06,1756.74,1766.49,256526992
2008-04-07,1769.74,1786.56,1763.38,1773.56,275213984
2008-04-08,1770.98,1770.98,1749.64,1754.71,267175984
2008-04-10,1745.6,1764.64,1735.78,1764.64,214854992
2008-04-11,1768.13,1779.92,1759.29,1779.71,272276000
2008-04-14,1746.88,1755.28,1739.03,1746.71,223391984
2008-04-15,1749.29,1754.3,1734.13,1742.17,238397984
2008-04-16,1757.83,1765.81,1753.79,1758.56,286264000
2008-04-17,1782.51,1783.85,1765.59,1768.67,264966992
2008-04-18,1772.89,1778.81,1762.93,1771.9,237502992
2008-04-21,1793.18,1802.81,1791.4,1800.48,298806976
2008-04-22,1799.72,1803.35,1785.47,1787.49,346339968
2008-04-23,1784.23,1809.02,1784.23,1800.79,339776992
2008-04-24,1808.88,1812.62,1794.64,1799.34,496630976
2008-04-25,1809,1825.83,1809,1824.68,327352992
2008-04-28,1829.45,1831.84,1814.2,1823.17,371149984
2008-04-29,1829.01,1831.23,1803.08,1811.51,271820000
2008-04-30,1808.74,1825.58,1803.49,1825.47,244675984
2008-05-02,1851.64,1851.64,1843.14,1848.27,267053984
2008-05-06,1849.81,1859.27,1843.36,1859.06,303438976
2008-05-07,1863.77,1868.09,1839.76,1854.01,383772992
2008-05-08,1831.17,1854.55,1830.46,1848,319040992
2008-05-09,1854.73,1854.73,1818.27,1823.7,279933984
2008-05-13,1829.37,1842.8,1813.98,1842.8,265167984
2008-05-14,1841.43,1848.02,1828.06,1843.75,297574976
2008-05-15,1852.74,1886.95,1852.67,1885.71,414693984
2008-05-16,1893.99,1899.56,1882.68,1888.88,301514976
2008-05-19,1893.54,1901.13,1875.05,1885.37,355874976
2008-05-20,1886.52,1889.85,1857.05,1873.15,336233984
2008-05-21,1848.97,1861.58,1844.95,1847.51,315882976
2008-05-22,1826.06,1836.63,1810.68,1835.42,357201984
2008-05-23,1836.42,1840.78,1826.16,1827.93,299024000
2008-05-26,1813.63,1820.74,1791.4,1800.58,281721984
